episode_id,publish_date,title,episode_url,transcript_path,mention_count,review_count
1339,2026-02-05,The Dawn of the Agent Age,https://podcasters.spotify.com/pod/show/nlw/episodes/The-Dawn-of-the-Agent-Age-e3eldab,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1339-the-dawn-of-the-agent-age.txt,23,9
1342,2026-02-03,The AI Race Just Got a SpaceX-Sized Twist,https://podcasters.spotify.com/pod/show/nlw/episodes/The-AI-Race-Just-Got-a-SpaceX-Sized-Twist-e3ejn0u,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1342-the-ai-race-just-got-a-spacex-sized-twist.txt,17,2
1343,2026-02-02,Why Moltbook Matters,https://podcasters.spotify.com/pod/show/nlw/episodes/Why-Moltbook-Matters-e3ei1kq,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1343-why-moltbook-matters.txt,7,2
1344,2026-02-01,OpenAI IPO? Grok-SpaceX Merger? The AI IPO Race Heats Up,https://podcasters.spotify.com/pod/show/nlw/episodes/OpenAI-IPO--Grok-SpaceX-Merger--The-AI-IPO-Race-Heats-Up-e3efme6,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1344-openai-ipo-grok-spacex-merger-the-ai-ipo-race-heats-up.txt,8,1
1349,2026-01-31,"100,000 AI Agents Joined Their Own Social Network Today. It's Called Moltbook.",https://podcasters.spotify.com/pod/show/nlw/episodes/100-000-AI-Agents-Joined-Their-Own-Social-Network-Today--Its-Called-Moltbook-e3ee5ue,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1349-100-000-ai-agents-joined-their-own-social-network-today-it-s-called-moltbook.txt,15,4
1350,2026-01-30,Are Markets Still Worried About an AI Bubble?,https://podcasters.spotify.com/pod/show/nlw/episodes/Are-Markets-Still-Worried-About-an-AI-Bubble-e3eco6e,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1350-are-markets-still-worried-about-an-ai-bubble.txt,7,1
1352,2026-01-28,The AI Acceleration Gap,https://podcasters.spotify.com/pod/show/nlw/episodes/The-AI-Acceleration-Gap-e3e9nf7,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1352-the-ai-acceleration-gap.txt,10,4
1351,2026-01-28,Are Agent Swarms the Next AI Paradigm?,https://podcasters.spotify.com/pod/show/nlw/episodes/Are-Agent-Swarms-the-Next-AI-Paradigm-e3eb0mb,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1351-are-agent-swarms-the-next-ai-paradigm.txt,13,3
1353,2026-01-26,"Ralph Wiggum, Clawdbot, and Mac Minis: How Pros Are Vibe Coding in 2026",https://podcasters.spotify.com/pod/show/nlw/episodes/Ralph-Wiggum--Clawdbot--and-Mac-Minis-How-Pros-Are-Vibe-Coding-in-2026-e3e5ior,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1353-ralph-wiggum-clawdbot-and-mac-minis-how-pros-are-vibe-coding-in-2026.txt,19,8
1354,2026-01-25,Skills for the Code AGI Era,https://podcasters.spotify.com/pod/show/nlw/episodes/Skills-for-the-Code-AGI-Era-e3e4skk,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1354-skills-for-the-code-agi-era.txt,11,3
1355,2026-01-24,Who Will Adapt Best to AI Disruption?,https://podcasters.spotify.com/pod/show/nlw/episodes/Who-Will-Adapt-Best-to-AI-Disruption-e3e3p6q,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1355-who-will-adapt-best-to-ai-disruption.txt,4,1
1357,2026-01-22,AGI Timelines Shift Forward,https://podcasters.spotify.com/pod/show/nlw/episodes/AGI-Timelines-Shift-Forward-e3e0o7c,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1357-agi-timelines-shift-forward.txt,7,1
1356,2026-01-22,The 3x Payoff of Deep AI Integration,https://podcasters.spotify.com/pod/show/nlw/episodes/The-3x-Payoff-of-Deep-AI-Integration-e3e24qb,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1356-the-3x-payoff-of-deep-ai-integration.txt,10,5
1358,2026-01-21,The AI Capabilities Overhang,https://podcasters.spotify.com/pod/show/nlw/episodes/The-AI-Capabilities-Overhang-e3dv7r0,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1358-the-ai-capabilities-overhang.txt,5,4
1359,2026-01-19,How to Make ChatGPT Ads Not Suck,https://podcasters.spotify.com/pod/show/nlw/episodes/How-to-Make-ChatGPT-Ads-Not-Suck-e3dt4fv,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1359-how-to-make-chatgpt-ads-not-suck.txt,10,1
1360,2026-01-18,Code AGI is Functional AGI (And It's Here),https://podcasters.spotify.com/pod/show/nlw/episodes/Code-AGI-is-Functional-AGI-And-Its-Here-e3dqp2s,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1360-code-agi-is-functional-agi-and-it-s-here.txt,10,1
1361,2026-01-17,Why CEOs Need to Lead AI Strategy,https://podcasters.spotify.com/pod/show/nlw/episodes/Why-CEOs-Need-to-Lead-AI-Strategy-e3dp5gj,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1361-why-ceos-need-to-lead-ai-strategy.txt,8,1
1363,2026-01-15,ChatGPT 5.5 Coming Soon?,https://podcasters.spotify.com/pod/show/nlw/episodes/ChatGPT-5-5-Coming-Soon-e3dlva0,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1363-chatgpt-5-5-coming-soon.txt,20,7
1362,2026-01-15,AI's Battle for Your Context,https://podcasters.spotify.com/pod/show/nlw/episodes/AIs-Battle-for-Your-Context-e3dnhmr,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1362-ai-s-battle-for-your-context.txt,20,4
1365,2026-01-13,Google to Officially Power Apple AI Siri,https://podcasters.spotify.com/pod/show/nlw/episodes/Google-to-Officially-Power-Apple-AI-Siri-e3dieoe,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1365-google-to-officially-power-apple-ai-siri.txt,6,0
1364,2026-01-13,Claude Cowork Is Claude Code for Everyone Else,https://podcasters.spotify.com/pod/show/nlw/episodes/Claude-Cowork-Is-Claude-Code-for-Everyone-Else-e3dk53n,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1364-claude-cowork-is-claude-code-for-everyone-else.txt,11,1
1366,2026-01-11,Does Work Still Matter in the Age of AI?,https://podcasters.spotify.com/pod/show/nlw/episodes/Does-Work-Still-Matter-in-the-Age-of-AI-e3dgbkg,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1366-does-work-still-matter-in-the-age-of-ai.txt,15,4
1368,2026-01-10,What Happens When AI Obliterates Your Business Model?,https://podcasters.spotify.com/pod/show/nlw/episodes/What-Happens-When-AI-Obliterates-Your-Business-Model-e3debhm,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1368-what-happens-when-ai-obliterates-your-business-model.txt,14,1
1367,2026-01-10,Building a Personal AI Model Map [AI Operators Bonus Episode],https://podcasters.spotify.com/pod/show/nlw/episodes/Building-a-Personal-AI-Model-Map-AI-Operators-Bonus-Episode-e3df457,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1367-building-a-personal-ai-model-map-ai-operators-bonus-episode.txt,14,0
1369,2026-01-09,How People Are Using AI for Health,https://podcasters.spotify.com/pod/show/nlw/episodes/How-People-Are-Using-AI-for-Health-e3dcvau,/Users/kevinhalladay-glynn/DevKev/personal/pod-lists/pipeline/_cache/ai_daily/transcripts/1369-how-people-are-using-ai-for-health.txt,6,0
